Rating	JobTitle	companyname	location	Estsal	Mediansal
3.9	Data Analyst	Zenreach –	"San Francisco, CA"	Est. Salary $50k-$76k	The median pay of $62k is:
4.3	Data Analyst	Emerson Ecologics –	"Manchester, NH"	Est. Salary $40k-$59k	The median pay of $50k is:
3.8	Data Analyst	Autodesk –	"San Francisco, CA"	Est. Salary $82k-$117k	The median pay of $98k is:
4.6	Healthcare Data Analyst	Eliassen Group –	"Farmington, CT"		
3.8	Data Analyst	Unilever –	"Englewood Cliffs, NJ"	Est. Salary $50k-$76k	The median pay of $62k is:
3.3	Data Analyst	L.A. Care –	"Los Angeles, CA"	Est. Salary $71k-$100k	The median pay of $85k is:
5	Data Analyst	Unique Influence –	"Austin, TX"	Est. Salary $37k-$57k	The median pay of $46k is:
4.1	Data Analyst/Senior Data Analyst	Credit Sesame –	"San Francisco, CA"	Est. Salary $98k-$146k	The median pay of $120k is:
3.2	Data Science Analyst	Oriental Trading Company –	"Ralston, NE"		
4.7	Data Analyst	"ServiceTitan, Inc. –"	"Glendale, CA"	Est. Salary $49k-$73k	The median pay of $62k is:
4.3	Data Analyst	Wolverine Trading –	"Chicago, IL"	Est. Salary $54k-$76k	The median pay of $64k is:
3.3	Data Analyst	Bankrate.com –	"Palm Beach Gardens, FL"	Est. Salary $43k-$61k	The median pay of $51k is:
3.1	Data Analyst	Iron Mountain –	"Boston, MA"	Est. Salary $48k-$70k	The median pay of $58k is:
2	Data Analyst	Grand Circle –	"Boston, MA"	Est. Salary $50k-$78k	The median pay of $63k is:
3.4	Data Analyst	"The Oakleaf Group, LLC –"	"Bethesda, MD"	Est. Salary $57k-$81k	The median pay of $68k is:
3.3	Data Analyst	Grubhub –	"Chicago, IL"	Est. Salary $63k-$91k	The median pay of $77k is:
3.8	Data Analytics Analyst	Tradeweb –	"New York, NY"	Est. Salary $70k-$112k	The median pay of $90k is:
3.9	Data Analyst Transplant Administration	Houston Methodist –	"Houston, TX"	Est. Salary $42k-$59k	The median pay of $50k is:
3.4	Data Analyst	Shutterstock –	"New York, NY"	Est. Salary $56k-$82k	The median pay of $69k is:
4.2	Data Analyst	Nytec –	"Menlo Park, CA"	Est. Salary $62k-$89k	The median pay of $74k is:
3.1	Game Data Analyst	Cryptic Studios –	"Los Gatos, CA"	Est. Salary $58k-$89k	The median pay of $73k is:
4.9	Data Analyst	Viventium –	"Brooklyn, NY"	Est. Salary $46k-$68k	The median pay of $56k is:
3.3	Data Analyst	MicroMass Communications –	"Cary, NC"	Est. Salary $38k-$57k	The median pay of $47k is:
2.7	Data Analyst	GoHealth –	"Chicago, IL"	Est. Salary $48k-$71k	The median pay of $60k is:
3.4	Data Analyst	Reassured –	"Alton, NH"	Est. Salary $34k-$51k	The median pay of $42k is:
